WoS Source UT,WoS Citing UT,WoS Times Cited
WOS:000426705100015,WOS:000799460100001,
WOS:000426705100015,WOS:000797864100001,
WOS:000426705100015,WOS:000793675300018,18
WOS:000426705100015,WOS:000790338900001,4
WOS:000426705100015,WOS:000784781600001,13
WOS:000426705100015,WOS:000755144500029,45
WOS:000426705100015,WOS:000778606600014,1
WOS:000426705100015,WOS:000784228600007,1
WOS:000426705100015,WOS:000782623300012,1
WOS:000426705100015,WOS:000783381200002,1
WOS:000426705100015,WOS:000776720600001,2
WOS:000426705100015,WOS:000773615100012,
WOS:000426705100015,WOS:000770384200010,2
WOS:000426705100015,WOS:000770384200020,9
WOS:000426705100015,WOS:000771205500004,2
WOS:000426705100015,WOS:000769848700001,
WOS:000426705100015,WOS:000766570500007,
WOS:000426705100015,WOS:000760209700005,8
WOS:000426705100015,WOS:000760951000004,
WOS:000426705100015,WOS:000765309000021,63
WOS:000426705100015,WOS:000759692400001,1
WOS:000426705100015,WOS:000762506100001,1
WOS:000426705100015,WOS:000755175100036,1
WOS:000426705100015,WOS:000754618500017,2
WOS:000426705100015,WOS:000754618500011,
WOS:000426705100015,WOS:000755861500001,1
WOS:000426705100015,WOS:000758575200001,
WOS:000426705100015,WOS:000756232400009,1
WOS:000426705100015,WOS:000749839300009,2
WOS:000426705100015,WOS:000752128700001,
WOS:000426705100015,WOS:000748983300007,
WOS:000426705100015,WOS:000743612400022,1
WOS:000426705100015,WOS:000743612400024,
WOS:000426705100015,WOS:000734651600011,
WOS:000426705100015,WOS:000740758100001,1
WOS:000426705100015,WOS:000739799200024,3
WOS:000426705100015,WOS:000736266100001,11
WOS:000426705100015,WOS:000728887600004,10
WOS:000426705100015,WOS:000734028000001,6
WOS:000426705100015,WOS:000732927800005,16
WOS:000426705100015,WOS:000731609000008,1
WOS:000426705100015,WOS:000731609000005,6
WOS:000426705100015,WOS:000725694900008,
WOS:000426705100015,WOS:000729002000013,
WOS:000426705100015,WOS:000726651000008,2
WOS:000426705100015,WOS:000726809900005,2
WOS:000426705100015,WOS:000726737500003,2
WOS:000426705100015,WOS:000722615300001,2
WOS:000426705100015,WOS:000722372000001,7
WOS:000426705100015,WOS:000720504800008,1
WOS:000426705100015,WOS:000720316400001,2
WOS:000426705100015,WOS:000718150800001,
WOS:000426705100015,WOS:000715705900014,5
WOS:000426705100015,WOS:000709746800003,1
WOS:000426705100015,WOS:000716295500001,2
WOS:000426705100015,WOS:000711826100008,2
WOS:000426705100015,WOS:000709698000009,
WOS:000426705100015,WOS:000709732400011,35
WOS:000426705100015,WOS:000710763800001,
WOS:000426705100015,WOS:000707412900009,9
WOS:000426705100015,WOS:000707417300008,10
WOS:000426705100015,WOS:000706623700001,3
WOS:000426705100015,WOS:000705022800001,3
WOS:000426705100015,WOS:000705747800001,3
WOS:000426705100015,WOS:000704383600019,3
WOS:000426705100015,WOS:000703370200001,2
WOS:000426705100015,WOS:000702860000015,2
WOS:000426705100015,WOS:000698626100001,1
WOS:000426705100015,WOS:000697732300003,13
WOS:000426705100015,WOS:000696730400028,4
WOS:000426705100015,WOS:000693390200001,2
WOS:000426705100015,WOS:000689734900004,9
WOS:000426705100015,WOS:000688496500001,1
WOS:000426705100015,WOS:000688292100001,2
WOS:000426705100015,WOS:000687985000001,1
WOS:000426705100015,WOS:000685297500013,9
WOS:000426705100015,WOS:000686116400001,
WOS:000426705100015,WOS:000684345100002,
WOS:000426705100015,WOS:000683581100019,
WOS:000426705100015,WOS:000683772100004,14
WOS:000426705100015,WOS:000681136500001,3
WOS:000426705100015,WOS:000670889700009,7
WOS:000426705100015,WOS:000679356400001,2
WOS:000426705100015,WOS:000667119000006,2
WOS:000426705100015,WOS:000674553100001,
WOS:000426705100015,WOS:000673671700001,2
WOS:000426705100015,WOS:000669489300001,1
WOS:000426705100015,WOS:000668575600001,5
WOS:000426705100015,WOS:000665772900006,3
WOS:000426705100015,WOS:000667538900001,
WOS:000426705100015,WOS:000667240100010,10
WOS:000426705100015,WOS:000667314200004,2
WOS:000426705100015,WOS:000659921800050,18
WOS:000426705100015,WOS:000658839100011,9
WOS:000426705100015,WOS:000657046400001,1
WOS:000426705100015,WOS:000656633100011,2
WOS:000426705100015,WOS:000656786900001,1
WOS:000426705100015,WOS:000654861600001,
WOS:000426705100015,WOS:000647154500006,6
WOS:000426705100015,WOS:000641321500013,29
WOS:000426705100015,WOS:000650008300001,8
WOS:000426705100015,WOS:000647756500004,3
WOS:000426705100015,WOS:000645139100011,
WOS:000426705100015,WOS:000643527800012,11
WOS:000426705100015,WOS:000640570600001,1
WOS:000426705100015,WOS:000647615500003,1
WOS:000426705100015,WOS:000643160400001,
WOS:000426705100015,WOS:000637926300008,
WOS:000426705100015,WOS:000644152000001,
WOS:000426705100015,WOS:000638218000004,7
WOS:000426705100015,WOS:000637814400010,3
WOS:000426705100015,WOS:000631571600003,
WOS:000426705100015,WOS:000634770000005,2
WOS:000426705100015,WOS:000629015100035,
WOS:000426705100015,WOS:000628690200010,14
WOS:000426705100015,WOS:000632063100001,
WOS:000426705100015,WOS:000631396200001,
WOS:000426705100015,WOS:000631426300001,1
WOS:000426705100015,WOS:000628309200001,
WOS:000426705100015,WOS:000622346200002,
WOS:000426705100015,WOS:000623103300001,
WOS:000426705100015,WOS:000612807900018,
WOS:000426705100015,WOS:000618963500004,13
WOS:000426705100015,WOS:000619514100012,
WOS:000426705100015,WOS:000618895000012,1
WOS:000426705100015,WOS:000612804600007,5
WOS:000426705100015,WOS:000612804600008,4
WOS:000426705100015,WOS:000610050100038,7
WOS:000426705100015,WOS:000611088500057,5
WOS:000426705100015,WOS:000608443600042,2
WOS:000426705100015,WOS:000608443600043,4
WOS:000426705100015,WOS:000608452800007,1
WOS:000426705100015,WOS:000607460800008,
WOS:000426705100015,WOS:000608375000001,1
WOS:000426705100015,WOS:000607460800006,
WOS:000426705100015,WOS:000595600100006,14
WOS:000426705100015,WOS:000608123100001,6
WOS:000426705100015,WOS:000604731600020,2
WOS:000426705100015,WOS:000603564800001,8
WOS:000426705100015,WOS:000603063400001,9
WOS:000426705100015,WOS:000601207900002,1
WOS:000426705100015,WOS:000597972700008,
WOS:000426705100015,WOS:000600600000004,4
WOS:000426705100015,WOS:000593144400019,6
WOS:000426705100015,WOS:000594623900001,
WOS:000426705100015,WOS:000597645300001,1
WOS:000426705100015,WOS:000595284500001,19
WOS:000426705100015,WOS:000592282500002,3
WOS:000426705100015,WOS:000598529500015,12
WOS:000426705100015,WOS:000521333700007,16
WOS:000426705100015,WOS:000505384800003,2
WOS:000426705100015,WOS:000583267500011,4
WOS:000426705100015,WOS:000469228400001,8
WOS:000426705100015,WOS:000459952500019,
WOS:000426705100015,WOS:000452629400025,2
WOS:000426705100015,WOS:000590671800005,4
WOS:000426705100015,WOS:000593144100015,2
WOS:000426705100015,WOS:000593144100022,2
WOS:000426705100015,WOS:000593144100020,4
WOS:000426705100015,WOS:000593143900017,8
WOS:000426705100015,WOS:000591711900024,6
WOS:000426705100015,WOS:000595297300001,15
WOS:000426705100015,WOS:000591817300001,4
WOS:000426705100015,WOS:000588639500006,12
WOS:000426705100015,WOS:000588186500071,2
WOS:000426705100015,WOS:000582483300012,
WOS:000426705100015,WOS:000588490600010,4
WOS:000426705100015,WOS:000586348000003,9
WOS:000426705100015,WOS:000587101700001,19
WOS:000426705100015,WOS:000586322100002,9
WOS:000426705100015,WOS:000584968600015,1
WOS:000426705100015,WOS:000584968600014,6
WOS:000426705100015,WOS:000584943100001,105
WOS:000426705100015,WOS:000583925000001,5
WOS:000426705100015,WOS:000585554100001,2
WOS:000426705100015,WOS:000582403700012,5
WOS:000426705100015,WOS:000575420000013,2
WOS:000426705100015,WOS:000575740700001,1
WOS:000426705100015,WOS:000574871800013,
WOS:000426705100015,WOS:000574394600044,8
WOS:000426705100015,WOS:000571141700007,63
WOS:000426705100015,WOS:000571816100006,2
WOS:000426705100015,WOS:000571393000005,15
WOS:000426705100015,WOS:000571794200037,4
WOS:000426705100015,WOS:000570957500009,23
WOS:000426705100015,WOS:000570698000001,1
WOS:000426705100015,WOS:000569587900001,8
WOS:000426705100015,WOS:000565849600016,14
WOS:000426705100015,WOS:000567753900001,5
WOS:000426705100015,WOS:000566956800001,8
WOS:000426705100015,WOS:000566989900011,5
WOS:000426705100015,WOS:000565903600009,14
WOS:000426705100015,WOS:000565157400006,3
WOS:000426705100015,WOS:000564383400029,10
WOS:000426705100015,WOS:000565192900001,18
WOS:000426705100015,WOS:000564562200001,5
WOS:000426705100015,WOS:000563450000001,14
WOS:000426705100015,WOS:000562875500005,5
WOS:000426705100015,WOS:000562365100013,3
WOS:000426705100015,WOS:000563918200001,7
WOS:000426705100015,WOS:000561936800001,17
WOS:000426705100015,WOS:000561296300020,51
